"record","kind","title","metric_kind","method","training_seed","budget","episode_or_checkpoint","evaluation_seed","return","success","length","real_interactions","updates","planning_updates","wall_ms","status","text"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","prediction","q","11","","","","","","","","","","","","Developer QA prediction saved before real training; not student evidence."
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","reflection","","","","","","","","","","","","","ungraded","QA reflection <img src=x onerror=alert(1)> = not graded."
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","0","","0.65","true","8","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","1","","0.75","true","6","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","2","","-1.5999999999999988","true","53","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","3","","0.75","true","6","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","4","","0.29999999999999993","true","15","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","5","","0.75","true","6","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","6","","0.29999999999999993","true","15","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","7","","0.04999999999999971","true","20","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","8","","0.75","true","6","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","9","","0.75","true","6","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","10","","0.7","true","7","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","11","","0.8","true","5","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","12","","0.65","true","8","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","13","","0.55","true","10","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","14","","0.4","true","13","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","15","","0.75","true","6","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","16","","0.8","true","5","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","17","","0.8","true","5","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","18","","0.65","true","8","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","19","","0.8","true","5","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","20","","0.8","true","5","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","21","","0.8","true","5","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","22","","0.45000000000000007","true","12","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","23","","0.8","true","5","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
"23e114ca-e0bc-4f6f-8517-6e7425086e4a","experiment","My island","training","q","11","600","24","","0.8","true","5","600","600","0","224.30000001192093","saved","Raw observed episode; interrupted=false"
